10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,VALID VOTES POLLED,,,,
STATE/UT NAME,AC NO.,AC NAME,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,TOTAL ELECTORS
Punjab,32,Shahkot,7 Jaskaranjeet Singh,MALE,42,GENERAL,CPI(M),"Hammer, Sickle and Star",900,1,901,0.68,182103
Punjab,32,Shahkot,8 NOTA,,,,NOTA,NOTA,863,3,866,0.65,182103
Punjab,32,Shahkot,9 Satwant Singh,MALE,52,GENERAL,IND,Bat,422,0,422,0.32,182103
Punjab,32,Shahkot,10 Sukhdev,MALE,38,SC,BSP(A),Helicopter,334,0,334,0.25,182103
Punjab,32,Shahkot,11 Kashmir Singh,MALE,51,GENERAL,IND,Ganna Kisan,310,0,310,0.23,182103
Punjab,32,Shahkot,12 Paramjot,FEMALE,43,SC,IND,Truck,185,0,185,0.14,182103
TURN OUT,,,,,,TOTAL:,,,132088,422,132510,72.77,
Punjab,33,Kartarpur,1 BALKAR SINGH,MALE,59,SC,AAAP,Broom,41651,179,41830,33.47,184762
Punjab,33,Kartarpur,2 CHAUDHARY SURINDER SINGH,MALE,65,SC,INC,Hand,37130,126,37256,29.81,184762
Punjab,33,Kartarpur,3 ADVOCATE BALWINDER KUMAR,MALE,43,SC,BSP,Elephant,33598,111,33709,26.97,184762
Punjab,33,Kartarpur,4 SURINDER MAHEY,MALE,64,SC,BJP,Lotus,5476,42,5518,4.41,184762
Punjab,33,Kartarpur,5 RAJESH KUMAR,MALE,44,SC,IND,Cot,3601,7,3608,2.89,184762
Punjab,33,Kartarpur,6 NOTA,,,,NOTA,NOTA,1136,1,1137,0.91,184762
Punjab,33,Kartarpur,7 HARWINDER SINGH RAHUL NIJJAR,MALE,36,SC,BSP(A),Television,746,0,746,0.6,184762
