10 - Detailed Results,,,,,,,,,,,,,
,,,,,,,,, VALID VOTES POLLED ,,,,
 STATE/UT NAME , AC NO. , AC NAME , CANDIDATE NAME , SEX , AGE , CATEGORY , PARTY , SYMBOL , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS 
NCT OF Delhi,3,TIMARPUR,7 SANJEEV KUMAR RANA,MALE,51,GENERAL,CPI,Ears of Corn And Sickle,245,,245,0.197563119400698,203599
NCT OF Delhi,3,TIMARPUR,8 VISHAL GHANSHAM GHOBALE,MALE,36,GENERAL,TPSTP,Kettle,129,,129,0.104023030215062,203599
NCT OF Delhi,3,TIMARPUR,9 HEMRAJ,MALE,34,SC,PPID,Basket containing Fruits,105,,105,0.084669908314585,203599
NCT OF Delhi,3,TIMARPUR,10 AMITA MALIK,FEMALE,32,GENERAL,AKBHJSP,Water Tank,88,,88,0.0709614469684141,203599
NCT OF Delhi,3,TIMARPUR,11 PARASHU RAM MAURYA,MALE,50,GENERAL,JANADIP,Dolli,84,,84,0.067735926651668,203599
NCT OF Delhi,3,TIMARPUR,12 KAVITA,FEMALE,38,GENERAL,BSNP,Wheel Barrow,80,,80,0.0645104063349219,203599
NCT OF Delhi,3,TIMARPUR,13 RAJ KUMAR MALIK,MALE,27,GENERAL,SatBP,Black Board,62,,62,0.0499955649095645,203599
NCT OF Delhi,3,TIMARPUR,14 JAGANNATH,MALE,70,SC,bjdi,Hat,53,,53,0.0427381441968858,203599
NCT OF Delhi,3,TIMARPUR,15 YUGAL KISHOR PODDAR,MALE,52,GENERAL,RVNP,Gas Stove,34,,34,0.0274169226923418,203599
 TURNOUT , TOTAL : ,,,,,,,,123753,258,124011,60.9094347221745,
NCT OF Delhi,4,ADARSH NAGAR,1 PAWAN SHARMA,MALE,53,GENERAL,AAAP,Broom,46808,84,46892,45.19623718097,173416
NCT OF Delhi,4,ADARSH NAGAR,2 RAJ KUMAR BHATIA,MALE,54,GENERAL,BJP,Lotus,45066,237,45303,43.6647004395096,173416
NCT OF Delhi,4,ADARSH NAGAR,3 MUKESH KUMAR GOEL,MALE,59,GENERAL,INC,Hand,9986,28,10014,9.65186213277816,173416
NCT OF Delhi,4,ADARSH NAGAR,4 CHANDER PAL,MALE,42,SC,BSP,Elephant,530,2,532,0.512761199784101,173416
NCT OF Delhi,4,ADARSH NAGAR,5 NOTA,,,,NOTA,NOTA,417,2,419,0.403847636672064,173416
NCT OF Delhi,4,ADARSH NAGAR,6 KAILASH,MALE,40,GENERAL,AAPP,Battery Torch,302,,302,0.29107872619323,173416
NCT OF Delhi,4,ADARSH NAGAR,7 VIJAY KR AGGARWAL,MALE,58,GENERAL,IND,Bat,163,1,164,0.158069242038708,173416
NCT OF Delhi,4,ADARSH NAGAR,8 SHASHI,FEMALE,34,GENERAL,IND,Key,125,1,126,0.121443442054129,173416
 TURNOUT , TOTAL : ,,,,,,,,103397,355,103752,59.8283895372976,
